<span itemprop="title">Buitenveldert-Wes,�2700,<span class="specs-val">                110 m²                   , class="specs-val">                Gestoffeerd en gemeubileerd                    
<span itemprop="title">Buitenveldert-Wes,�2700,<span class="specs-val">                110 m²                   , class="specs-val">                Gestoffeerd en gemeubileerd                    
<span itemprop="title">Buitenveldert-Wes,�3850,<span class="specs-val">                180 m²                   , class="specs-val">                Gestoffeerd en gemeubileerd                    
<span itemprop="title">Buitenveldert-Wes,�2700,<span class="specs-val">                110 m²                   , class="specs-val">                Gestoffeerd en gemeubileerd                    
<span itemprop="title">Buitenveldert-Wes,�3850,<span class="specs-val">                180 m²                   , class="specs-val">                Gestoffeerd en gemeubileerd                    
<span itemprop="title">Buitenveldert-Wes,�3850,<span class="specs-val">                180 m²                   , class="specs-val">                Gestoffeerd en gemeubileerd                    
<span itemprop="title">Osdorp-Midde,�1750,<span class="specs-val">                115 m²                   , class="specs-val">                Gedeeltelijk gestoffeerd                    
<span itemprop="title">Osdorp-Midde,�1750,<span class="specs-val">                115 m²                   , class="specs-val">                Gedeeltelijk gestoffeerd                    
<span itemprop="title">Osdorp-Midde,�1750,<span class="specs-val">                115 m²                   , class="specs-val">                Gedeeltelijk gestoffeerd                    
<span itemprop="title">Grachtengordel-Wes,�6750,<span class="specs-val">                270 m²                   , class="specs-val">                Monumentaal pand                    
<span itemprop="title">Grachtengordel-Wes,�6750,<span class="specs-val">                270 m²                   , class="specs-val">                Monumentaal pand                    
<span itemprop="title">Grachtengordel-Wes,�2750,<span class="specs-val">                140 m²                   , class="specs-val">                Gemeubileerd en gestoffeerd                    
<span itemprop="title">Grachtengordel-Wes,�2750,<span class="specs-val">                140 m²                   , class="specs-val">                Gemeubileerd en gestoffeerd                    
<span itemprop="title">Grachtengordel-Wes,�2750,<span class="specs-val">                140 m²                   , class="specs-val">                Gemeubileerd en gestoffeerd                    
<span itemprop="title">Grachtengordel-Wes,�2750,<span class="specs-val">                120 m²                   , class="specs-val">                Gestoffeerd                    
<span itemprop="title">Grachtengordel-Wes,�6750,<span class="specs-val">                270 m²                   , class="specs-val">                Monumentaal pand                    
<span itemprop="title">Grachtengordel-Zui,�3250,<span class="specs-val">                130 m²                   , class="specs-val">                Monumentaal pand                    
<span itemprop="title">Vondelbuur,�2450,<span class="specs-val">                86 m²                   , class="specs-val">                Gestoffeerd                    
<span itemprop="title">Grachtengordel-Wes,�5000,<span class="specs-val">                200 m²                   , class="specs-val">                Gestoffeerd en gemeubileerd                    
<span itemprop="title">Grachtengordel-Wes,�1600,<span class="specs-val">                60 m²                   , class="specs-val">                Monumentaal pand en gemeubileerd                    
<span itemprop="title">Buitenveldert-Oos,�1750,<span class="specs-val">                95 m²                   , class="specs-val">                Gemeubileerd                    
<span itemprop="title">Haarlemmerbuur,�1650,<span class="specs-val">                90 m²                   , class="specs-val">                Beschermd stads- of dorpsgezicht, gemeubileerd en gestoffeerd                    
<span itemprop="title">Jordaa,�3700,<span class="specs-val">                155 m²                   , class="specs-val">                Gestoffeerd                    
<span itemprop="title">Grachtengordel-Zui,�2500,<span class="specs-val">                101 m²                   , class="specs-val">                Gestoffeerd en gemeubileerd                    
<span itemprop="title">Dapperbuur,�1950,<span class="specs-val">                95 m²                   , class="specs-val">                Monument                    
<span itemprop="title">Dapperbuur,�1950,<span class="specs-val">                95 m²                   , class="specs-val">                Monument                    
<span itemprop="title">Dapperbuur,�1950,<span class="specs-val">                95 m²                   , class="specs-val">                Monument                    
<span itemprop="title">Dapperbuur,�1750,<span class="specs-val">                85 m²                   , class="specs-val">                Gemeubileerd                    
<span itemprop="title">Oosterparkbuur,�2750,<span class="specs-val">                140 m²                   , class="specs-val">                Gestoffeerd, gemeubileerd en beschermd stads- of dorpsgezicht                    
<span itemprop="title">Dapperbuur,�2000,<span class="specs-val">                140 m²                   , class="specs-val">                Gemeubileerd                    
<span itemprop="title">Grachtengordel-Wes,�3350,<span class="specs-val">                105 m²                   , class="specs-val">                Monumentaal pand en gemeubileerd                    
<span itemprop="title">Grachtengordel-Wes,�3350,<span class="specs-val">                105 m²                   , class="specs-val">                Monumentaal pand en gemeubileerd                    
<span itemprop="title">Grachtengordel-Wes,�3350,<span class="specs-val">                105 m²                   , class="specs-val">                Monumentaal pand en gemeubileerd                    
<span itemprop="title">Apollobuur,�2750,<span class="specs-val">                120 m²                   , class="specs-val">                Gestoffeerd                    
