neighborhood,description,space,price,bedrooms,agent,price_inc,address,interior,zip_code
<span></span>,,"55 m²,55 m²","€ 1.290,-,€ 1.290,-",1,,,,"Furnished,or unfurnished",1095 MA Amsterdam (Noord-Holland)
<span>Stadsdeel Zuid</span>,,"240 m²,240 m²","€ 3.500,-,€ 3.500,-",5,,Storage,,Unfurnished,1077 MJ Amsterdam (Noord-Holland)
<span></span>,,"55 m²,55 m²","€ 1.290,-,€ 1.290,-",1,,,,"Furnished,or unfurnished",1095 MA Amsterdam (Noord-Holland)
<span>Stadsdeel Zuid</span>,,"160 m²,160 m²","€ 2.950,-,€ 2.950,-",3,,,,Unfurnished,1077 RE Amsterdam (Noord-Holland)
<span>Stadsdeel Zuid</span>,,"160 m²,160 m²","€ 2.950,-,€ 2.950,-",3,,,,Unfurnished,1077 RE Amsterdam (Noord-Holland)
<span>Stadsdeel Zuid</span>,,"165 m²,165 m²","€ 3.650,-,€ 3.650,-",4,,,,Unfurnished,1077 ZE Amsterdam (Noord-Holland)
<span>Stadsdeel Zuid</span>,,"165 m²,165 m²","€ 3.650,-,€ 3.650,-",4,,Bath tub,,Unfurnished,1077 ZE Amsterdam (Noord-Holland)
<span>Stadsdeel Centrum</span>,,"67 m²,67 m²","€ 1.695,-,€ 1.695,-",1,,"exclusive:  Gas, Water, Electricity",,Furnished,1016 TW Amsterdam (Noord-Holland)
<span>Stadsdeel Centrum</span>,,"67 m²,67 m²","€ 1.695,-,€ 1.695,-",1,,"exclusive:  Gas, Water, Electricity",,Furnished,1016 TW Amsterdam (Noord-Holland)
<span>Stadsdeel Centrum</span>,,"67 m²,67 m²","€ 1.695,-,€ 1.695,-",1,,"exclusive:  Gas, Water, Electricity",,Furnished,1016 TW Amsterdam (Noord-Holland)
<span>Stadsdeel Zuid</span>,,"125 m²,125 m²","€ 2.750,-,€ 2.750,-",3,,,,Unfurnished,1077 NP Amsterdam (Noord-Holland)
<span>Stadsdeel Zuid</span>,,"120 m²,120 m²","€ 2.250,-,€ 2.250,-",3,,,,Unfurnished,1077 SL Amsterdam (Noord-Holland)
<span>Stadsdeel Zuid</span>,,"110 m²,110 m²","€ 2.350,-,€ 2.350,-",2,,"exclusive:  Gas, Water, Electricity",,Unfurnished,1077 SG Amsterdam (Noord-Holland)
<span>Stadsdeel Centrum</span>,,"67 m²,67 m²","€ 1.695,-,€ 1.695,-",1,,"exclusive:  Gas, Water, Electricity",,Furnished,1016 TW Amsterdam (Noord-Holland)
<span>Stadsdeel Zuid</span>,,"95 m²,95 m²","€ 2.250,-,€ 2.250,-",3,,,,Unfurnished,1077 TC Amsterdam (Noord-Holland)
<span>Stadsdeel Zuid</span>,,"237 m²,237 m²","€ 7.500,-,€ 7.500,-",5,,,,"Furnished,or unfurnished",1075 GZ Amsterdam (Noord-Holland)
<span>Stadsdeel Zuid</span>,,"190 m²,190 m²","€ 3.800,-,€ 3.800,-",4,,Quality of public transportation: Average,,"Furnished,or unfurnished",1077 MS Amsterdam (Noord-Holland)
<span>Stadsdeel Zuid</span>,,"125 m²,125 m²","€ 2.950,-,€ 2.950,-",4,,Bath tub,,Furnished,1077 EZ Amsterdam (Noord-Holland)
<span>Stadsdeel Zuid</span>,,"210 m²,210 m²","€ 7.250,-,€ 7.250,-",4,,Parking possibility,,Unfurnished,1077 GC Amsterdam (Noord-Holland)
<span>Stadsdeel Zuid</span>,,"40 m²,40 m²","€ 1.450,-,€ 1.450,-",1,,,,Furnished,1077 PV Amsterdam (Noord-Holland)
<span>Stadsdeel Zuid</span>,,"114 m²,114 m²","€ 2.000,-,€ 2.000,-",1,,Construction year: 1921,,Unfurnished,1075 HM Amsterdam (Noord-Holland)
<span>Stadsdeel Zuid</span>,,"110 m²,110 m²","€ 2.950,-,€ 2.950,-",1,,"Flooring: Carpet, Wood, Synthetic",,Furnished,1077 AX Amsterdam (Noord-Holland)
<span>Stadsdeel Oost</span>,,"80 m²,80 m²","€ 1.800,-,€ 1.800,-",2,,,,"Furnished,or unfurnished",1094 BC Amsterdam (Noord-Holland)
<span>Stadsdeel Oost</span>,,"100 m²,100 m²","€ 2.250,-,€ 2.250,-",2,,,,"Furnished,or unfurnished",1098 AB Amsterdam (Noord-Holland)
<span>Stadsdeel Zuid</span>,,"125 m²,125 m²","€ 2.250,-,€ 2.250,-",2,,Quality of public transportation: Average,,Furnished,1077 EV Amsterdam (Noord-Holland)
<span>Stadsdeel Zuid</span>,,"145 m²,145 m²","€ 2.750,-,€ 2.750,-",3,,Construction year: 1930,,Unfurnished,1075 HM Amsterdam (Noord-Holland)
<span>Stadsdeel Oost</span>,,"80 m²,80 m²","€ 1.550,-,€ 1.550,-",2,,Parking possibility,,Furnished,1095 AN Amsterdam (Noord-Holland)
<span>Stadsdeel Zuid</span>,,"200 m²,200 m²","€ 4.000,-,€ 4.000,-",3,,Quality of public transportation: Average,,Unfurnished,1075 HS Amsterdam (Noord-Holland)
