neighborhood,description,space,price,bedrooms,agent,price_inc,address,interior,zip_code
<span>Stadsdeel Centrum</span>,,"100 m²,100 m²","€ 2.500,-,€ 2.500,-",2,,Quality of public transportation: Good,,Furnished,1012 WP Amsterdam (Noord-Holland)
<span>Stadsdeel Centrum</span>,,"100 m²,100 m²","€ 2.500,-,€ 2.500,-",2,,Separate toilet,,Furnished,1012 WP Amsterdam (Noord-Holland)
<span>Stadsdeel Centrum</span>,,"100 m²,100 m²","€ 2.500,-,€ 2.500,-",2,,,,Furnished,1012 WP Amsterdam (Noord-Holland)
<span>Stadsdeel Zuid</span>,,"90 m²,90 m²","€ 2.250,-,€ 2.250,-",2,,Quality of public transportation: Good,,Furnished,1071 PB Amsterdam (Noord-Holland)
<span>Stadsdeel Centrum</span>,,"125 m²,125 m²","€ 3.250,-,€ 3.250,-",1,,Quality of public transportation: Good,,Furnished,1017 BM Amsterdam (Noord-Holland)
<span>Stadsdeel Zuid</span>,,"90 m²,90 m²","€ 2.250,-,€ 2.250,-",2,,Quality of public transportation: Good,,Furnished,1071 PB Amsterdam (Noord-Holland)
<span>Stadsdeel Zuid</span>,,"80 m²,80 m²","€ 1.950,-,€ 1.950,-",2,,,,Unfurnished,1071 GW Amsterdam (Noord-Holland)
<span>Stadsdeel Zuid</span>,,"90 m²,90 m²","€ 2.250,-,€ 2.250,-",2,,Quality of public transportation: Good,,Furnished,1071 PB Amsterdam (Noord-Holland)
<span>Stadsdeel Zuid</span>,,"72 m²,72 m²","€ 1.535,-,€ 1.535,-",1,,Quality of public transportation: Good,,Furnished,1071 LS Amsterdam (Noord-Holland)
<span>Stadsdeel Zuid</span>,,"80 m²,80 m²","€ 1.850,-,€ 1.850,-",2,,"exclusive:  Gas, Water, Electricity",,Unfurnished,1071 GW Amsterdam (Noord-Holland)
<span>Stadsdeel Centrum</span>,,"70 m²,70 m²","€ 1.750,-,€ 1.750,-",2,,,,Unfurnished,1017 DE Amsterdam (Noord-Holland)
<span>Stadsdeel Zuid</span>,,"140 m²,140 m²","€ 2.850,-,€ 2.850,-",3,,"exclusive:  Gas, Water, Electricity",,Unfurnished,1071 LB Amsterdam (Noord-Holland)
<span>Stadsdeel Zuid</span>,,"90 m²,90 m²","€ 2.750,-,€ 2.750,-",1,,Construction year: 1900,,Furnished,1071 JL Amsterdam (Noord-Holland)
<span>Stadsdeel Zuid</span>,,"145 m²,145 m²","€ 3.600,-,€ 3.600,-",4,,,,Unfurnished,1071 ZL Amsterdam (Noord-Holland)
<span>Stadsdeel Zuid</span>,,"135 m²,135 m²","€ 3.500,-,€ 3.500,-",3,,Quality of public transportation: Good,,Unfurnished,1071 KD Amsterdam (Noord-Holland)
<span>Stadsdeel Zuid</span>,,"105 m²,105 m²","€ 2.400,-,€ 2.400,-",3,,"Price inclusive: Service costs, Internet, Television",,Furnished,1071 PH Amsterdam (Noord-Holland)
<span>Stadsdeel Zuid</span>,,"105 m²,105 m²","€ 2.450,-,€ 2.450,-",3,,,,Furnished,1071 PH Amsterdam (Noord-Holland)
<span>Stadsdeel Zuid</span>,,"105 m²,105 m²","€ 2.450,-,€ 2.450,-",3,,,,Furnished,1071 PH Amsterdam (Noord-Holland)
<span>Stadsdeel West</span>,,"52 m²,52 m²","€ 1.300,-,€ 1.300,-",1,,,,Furnished,1057 BG Amsterdam (Noord-Holland)
<span>Stadsdeel Zuid</span>,,"200 m²,200 m²","€ 5.900,-,€ 5.900,-",5,,Price inclusive: Exclusive,,Unfurnished,1071 ZS Amsterdam (Noord-Holland)
<span>Stadsdeel Zuid</span>,,"80 m²,80 m²","€ 2.450,-,€ 2.450,-",2,,Quality of public transportation: Good,,Furnished,1071 ZH Amsterdam (Noord-Holland)
<span>Stadsdeel Zuid</span>,,"100 m²,100 m²","€ 3.900,-,€ 3.900,-",2,,Quality of public transportation: Good,,Furnished,1071 ZG Amsterdam (Noord-Holland)
<span>Stadsdeel Zuid</span>,,"180 m²,180 m²","€ 2.850,-,€ 2.850,-",3,,Parking possibility,,Unfurnished,1071 NH Amsterdam (Noord-Holland)
<span>Stadsdeel Zuid</span>,,"170 m²,170 m²","€ 2.850,-,€ 2.850,-",3,,,,Unfurnished,1071 MT Amsterdam (Noord-Holland)
<span>Stadsdeel Zuid</span>,,"100 m²,100 m²","€ 2.495,-,€ 2.495,-",2,,,,Furnished,1071 ND Amsterdam (Noord-Holland)
<span>Stadsdeel West</span>,,"52 m²,52 m²","€ 1.300,-,€ 1.300,-",1,,,,Furnished,1057 BG Amsterdam (Noord-Holland)
<span>Stadsdeel Zuid</span>,,"95 m²,95 m²","€ 2.395,-,€ 2.395,-",2,,,,Furnished,1071 ND Amsterdam (Noord-Holland)
<span>Stadsdeel West</span>,,"52 m²,52 m²","€ 1.300,-,€ 1.300,-",1,,,,Furnished,1057 BG Amsterdam (Noord-Holland)
<span>Stadsdeel Zuid</span>,,"140 m²,140 m²","€ 2.500,-,€ 2.500,-",2,,Bath tub,,Furnished,1071 PB Amsterdam (Noord-Holland)
<span>Stadsdeel West</span>,,"110 m²,110 m²","€ 1.650,-,€ 1.650,-",2,,,,Furnished,1057 JD Amsterdam (Noord-Holland)
<span>Stadsdeel Zuid</span>,,"120 m²,120 m²","€ 3.100,-,€ 3.100,-",3,,,,Unfurnished,1071 NE Amsterdam (Noord-Holland)
<span>Stadsdeel West</span>,,"110 m²,110 m²","€ 1.750,-,€ 1.750,-",2,,Quality of public transportation: Average,,Furnished,1057 JD Amsterdam (Noord-Holland)
<span>Stadsdeel West</span>,,"65 m²,65 m²","€ 1.275,-,€ 1.275,-",2,,Quality of public transportation: Good,,Unfurnished,1058 BN Amsterdam (Noord-Holland)
<span>Stadsdeel West</span>,,"65 m²,65 m²","€ 1.450,-,€ 1.450,-",1,,Storage,,"Furnished,or unfurnished",1058 BZ Amsterdam (Noord-Holland)
<span>Stadsdeel West</span>,,"110 m²,110 m²","€ 1.650,-,€ 1.650,-",2,,Price inclusive: Exclusive,,Furnished,1057 JD Amsterdam (Noord-Holland)
<span>Stadsdeel West</span>,,"105 m²,105 m²","€ 1.100,-,€ 1.100,-",2,,Garden,,Shell,1057 VS Amsterdam (Noord-Holland)
<span>Stadsdeel West</span>,,"68 m²,68 m²","€ 1.400,-,€ 1.400,-",2,,,,Unfurnished,1057 DA Amsterdam (Noord-Holland)
<span>Stadsdeel West</span>,,"55 m²,55 m²","€ 1.200,-,€ 1.200,-",1,,Bath tub,,Shell,1057 EH Amsterdam (Noord-Holland)
<span>Stadsdeel West</span>,,"60 m²,60 m²","€ 1.300,-,€ 1.300,-",2,,Price inclusive: Service costs,,Unfurnished,1057 CB Amsterdam (Noord-Holland)
<span>Stadsdeel West</span>,,"65 m²,65 m²","€ 1.350,-,€ 1.350,-",1,,,,Furnished,1057 AD Amsterdam (Noord-Holland)
<span>Stadsdeel West</span>,,"70 m²,70 m²","€ 1.550,-,€ 1.550,-",2,,Garage,,Furnished,1057 BX Amsterdam (Noord-Holland)
<span>Stadsdeel West</span>,,"77 m²,77 m²","€ 1.650,-,€ 1.650,-",2,,,,Unfurnished,1057 HJ Amsterdam (Noord-Holland)
<span>Haarlem-Oost</span>,,"120 m²,120 m²","€ 1.205,-,€ 1.205,-",3,,Storage,,Shell,2032 EE Haarlem (Noord-Holland)
<span>Haarlem-Oost</span>,,"92 m²,92 m²","€ 1.077,-,€ 1.077,-",3,,Bath tub,,Shell,2032 EE Haarlem (Noord-Holland)
<span>Stadsdeel West</span>,,"60 m²,60 m²","€ 1.400,-,€ 1.400,-",2,,Construction year: 1944,,Furnished,1057 ZK Amsterdam (Noord-Holland)
<span>Stadsdeel West</span>,,"85 m²,85 m²","€ 1.600,-,€ 1.600,-",2,,"exclusive:  Gas, Water, Electricity",,Furnished,1057 WE Amsterdam (Noord-Holland)
<span>Stadsdeel West</span>,,"85 m²,85 m²","€ 1.700,-,€ 1.700,-",2,,Storage,,Furnished,1057 XD Amsterdam (Noord-Holland)
<span>Haarlem-Oost</span>,,"92 m²,92 m²","€ 1.077,-,€ 1.077,-",3,,Bath tub,,Shell,2032 EE Haarlem (Noord-Holland)
<span>Stadsdeel West</span>,,"50 m²,50 m²","€ 1.300,-,€ 1.300,-",1,,,,Unfurnished,1056 EH Amsterdam (Noord-Holland)
<span></span>,,"55 m²,55 m²","€ 1.290,-,€ 1.290,-",1,,,,"Furnished,or unfurnished",1095 MA Amsterdam (Noord-Holland)
<span>Stadsdeel Centrum</span>,,"120 m²,120 m²","€ 2.250,-,€ 2.250,-",2,,,,Unfurnished,1017 JT Amsterdam (Noord-Holland)
<span>Stadsdeel Centrum</span>,,"140 m²,140 m²","€ 2.950,-,€ 2.950,-",3,,,,Unfurnished,1018 TE Amsterdam (Noord-Holland)
<span>Stadsdeel West</span>,,"100 m²,100 m²","€ 1.550,-,€ 1.550,-",2,,Quality of public transportation: Good,,Furnished,1057 DL Amsterdam (Noord-Holland)
<span>Stadsdeel West</span>,,"57 m²,57 m²","€ 1.450,-,€ 1.450,-",2,,Bath tub,,Unfurnished,1057 RN Amsterdam (Noord-Holland)
<span>Stadsdeel West</span>,,"50 m²,50 m²","€ 1.300,-,€ 1.300,-",2,,Price inclusive: Service costs,,Unfurnished,1057 RP Amsterdam (Noord-Holland)
<span>Stadsdeel Centrum</span>,,"140 m²,140 m²","€ 2.950,-,€ 2.950,-",3,,,,Unfurnished,1018 TE Amsterdam (Noord-Holland)
<span>Stadsdeel Centrum</span>,,"120 m²,120 m²","€ 2.250,-,€ 2.250,-",2,,,,Unfurnished,1017 JT Amsterdam (Noord-Holland)
<span>Stadsdeel Centrum</span>,,"55 m²,55 m²","€ 1.475,-,€ 1.475,-",1,,Bath tub,,Furnished,1015 CG Amsterdam (Noord-Holland)
<span>Stadsdeel Centrum</span>,,"55 m²,55 m²","€ 1.475,-,€ 1.475,-",1,,Bath tub,,Furnished,1015 CG Amsterdam (Noord-Holland)
<span>Haarlem-Oost</span>,,"92 m²,92 m²","€ 1.077,-,€ 1.077,-",3,,Bath tub,,Shell,2032 EE Haarlem (Noord-Holland)
<span>Haarlem-Oost</span>,,"92 m²,92 m²","€ 1.077,-,€ 1.077,-",3,,Bath tub,,Shell,2032 EE Haarlem (Noord-Holland)
<span>Haarlem-Oost</span>,,"92 m²,92 m²","€ 1.077,-,€ 1.077,-",3,,Bath tub,,Shell,2032 EE Haarlem (Noord-Holland)
<span>Haarlem-Oost</span>,,"92 m²,92 m²","€ 1.077,-,€ 1.077,-",3,,Bath tub,,Shell,2032 EE Haarlem (Noord-Holland)
<span>Stadsdeel Centrum</span>,,"170 m²,170 m²","€ 3.250,-,€ 3.250,-",3,,,,Unfurnished,1017 NZ Amsterdam (Noord-Holland)
<span>Stadsdeel Centrum</span>,,"170 m²,170 m²","€ 3.250,-,€ 3.250,-",3,,,,Unfurnished,1017 NZ Amsterdam (Noord-Holland)
<span>Stadsdeel West</span>,,"120 m²,120 m²","€ 2.500,-,€ 2.500,-",3,,Ground floor,,Furnished,1054 TB Amsterdam (Noord-Holland)
<span>Stadsdeel Centrum</span>,,"140 m²,140 m²","€ 2.950,-,€ 2.950,-",3,,,,Unfurnished,1018 TE Amsterdam (Noord-Holland)
<span>Stadsdeel Centrum</span>,,"120 m²,120 m²","€ 2.250,-,€ 2.250,-",2,,,,Unfurnished,1017 JT Amsterdam (Noord-Holland)
<span>Stadsdeel Centrum</span>,,"140 m²,140 m²","€ 2.950,-,€ 2.950,-",3,,,,Unfurnished,1018 TE Amsterdam (Noord-Holland)
<span>Stadsdeel Centrum</span>,,"140 m²,140 m²","€ 2.950,-,€ 2.950,-",3,,,,Unfurnished,1018 TE Amsterdam (Noord-Holland)
<span>Stadsdeel Centrum</span>,,"140 m²,140 m²","€ 2.950,-,€ 2.950,-",3,,,,Unfurnished,1018 TE Amsterdam (Noord-Holland)
<span>Stadsdeel Centrum</span>,,"55 m²,55 m²","€ 1.475,-,€ 1.475,-",1,,Bath tub,,Furnished,1015 CG Amsterdam (Noord-Holland)
<span>Stadsdeel Centrum</span>,,"90 m²,90 m²","€ 2.100,-,€ 2.100,-",1,,,,Furnished,1015 DT Amsterdam (Noord-Holland)
<span>Stadsdeel Oost</span>,,"70 m²,70 m²","€ 1.545,-,€ 1.545,-",2,,Bath tub,,Unfurnished,1093 CP Amsterdam (Noord-Holland)
<span>Stadsdeel Centrum</span>,,"320 m²,320 m²","€ 7.950,-,€ 7.950,-",4,,Ground floor,,Unfurnished,1015 DL Amsterdam (Noord-Holland)
<span>Stadsdeel Centrum</span>,,"60 m²,60 m²","€ 1.750,-,€ 1.750,-",1,,,,Furnished,1015 DX Amsterdam (Noord-Holland)
<span>Stadsdeel Centrum</span>,,"170 m²,170 m²","€ 3.250,-,€ 3.250,-",3,,,,Unfurnished,1017 NZ Amsterdam (Noord-Holland)
<span>Stadsdeel Centrum</span>,,"150 m²,150 m²","€ 4.500,-,€ 4.500,-",4,,,,Shell,1015 CW Amsterdam (Noord-Holland)
<span>Stadsdeel Centrum</span>,,"170 m²,170 m²","€ 3.250,-,€ 3.250,-",3,,,,Unfurnished,1017 NZ Amsterdam (Noord-Holland)
<span>Stadsdeel Centrum</span>,,"235 m²,235 m²","€ 6.350,-,€ 6.350,-",3,,Bath tub,,Unfurnished,1015 CW Amsterdam (Noord-Holland)
<span>Stadsdeel Centrum</span>,,"170 m²,170 m²","€ 3.250,-,€ 3.250,-",3,,,,Unfurnished,1017 NZ Amsterdam (Noord-Holland)
<span>Stadsdeel Oost</span>,,"144 m²,144 m²","€ 3.250,-,€ 3.250,-",5,,Parking possibility,,Unfurnished,1086 ZV Amsterdam (Noord-Holland)
<span>Stadsdeel West</span>,,"120 m²,120 m²","€ 2.500,-,€ 2.500,-",3,,Ground floor,,Furnished,1054 TB Amsterdam (Noord-Holland)
<span>Stadsdeel West</span>,,"120 m²,120 m²","€ 2.500,-,€ 2.500,-",3,,Ground floor,,Furnished,1054 TB Amsterdam (Noord-Holland)
<span>Stadsdeel West</span>,,"120 m²,120 m²","€ 2.500,-,€ 2.500,-",3,,Ground floor,,Furnished,1054 TB Amsterdam (Noord-Holland)
<span>Stadsdeel Centrum</span>,,"71 m²,71 m²","€ 1.750,-,€ 1.750,-",1,,,,Unfurnished,1018 ST Amsterdam (Noord-Holland)
<span>Stadsdeel Centrum</span>,,"170 m²,170 m²","€ 3.250,-,€ 3.250,-",3,,,,Unfurnished,1017 NZ Amsterdam (Noord-Holland)
<span>Stadsdeel West</span>,,"120 m²,120 m²","€ 2.500,-,€ 2.500,-",3,,Ground floor,,Furnished,1054 TB Amsterdam (Noord-Holland)
<span>Stadsdeel Centrum</span>,,"110 m²,110 m²","€ 2.195,-,€ 2.195,-",2,,"exclusive:  Gas, Water, Electricity",,Furnished,1017 RE Amsterdam (Noord-Holland)
<span>Stadsdeel Centrum</span>,,"100 m²,100 m²","€ 1.750,-,€ 1.750,-",2,,,,Furnished,1017 KH Amsterdam (Noord-Holland)
<span>Stadsdeel Centrum</span>,,"400 m²,400 m²","€ 9.000,-,€ 9.000,-",7,,Construction year: 1750,,Unfurnished,1015 CD Amsterdam (Noord-Holland)
<span>Stadsdeel Centrum</span>,,"85 m²,85 m²","€ 2.500,-,€ 2.500,-",1,,,,Unfurnished,1015 CW Amsterdam (Noord-Holland)
<span>Stadsdeel Centrum</span>,,"100 m²,100 m²","€ 2.000,-,€ 2.000,-",2,,Quality of public transportation: Good,,Furnished,1017 GN Amsterdam (Noord-Holland)
<span>Stadsdeel Centrum</span>,,"80 m²,80 m²","€ 2.250,-,€ 2.250,-",2,,Quality of public transportation: Good,,Furnished,1015 CW Amsterdam (Noord-Holland)
<span>Stadsdeel Centrum</span>,,"270 m²,270 m²","price on demand,price on demand",4,,Separate toilet,,Unfurnished,1015 BM Amsterdam (Noord-Holland)
<span>Stadsdeel Centrum</span>,,"170 m²,170 m²","€ 3.750,-,€ 3.750,-",2,,,,Unfurnished,1015 BM Amsterdam (Noord-Holland)
<span>Stadsdeel Centrum</span>,,"120 m²,120 m²","€ 2.300,-,€ 2.300,-",2,,"exclusive:  Gas, Water, Electricity",,Furnished,1015 DB Amsterdam (Noord-Holland)
<span>Stadsdeel Centrum</span>,,"200 m²,200 m²","€ 2.900,-,€ 2.900,-",3,,,,Furnished,1015 BR Amsterdam (Noord-Holland)
<span>Stadsdeel Centrum</span>,,"75 m²,75 m²","€ 2.800,-,€ 2.800,-",3,,,,Unfurnished,1015 BS Amsterdam (Noord-Holland)
<span>Stadsdeel Centrum</span>,,"160 m²,160 m²","€ 5.500,-,€ 5.500,-",2,,Quality of public transportation: Good,,Furnished,1015 CV Amsterdam (Noord-Holland)
<span>Stadsdeel Centrum</span>,,"300 m²,300 m²","€ 6.500,-,€ 6.500,-",3,,Quality of public transportation: Good,,"Furnished,or unfurnished",1015 CH Amsterdam (Noord-Holland)
<span>Stadsdeel Centrum</span>,,"100 m²,100 m²","€ 2.195,-,€ 2.195,-",2,,"exclusive:  Gas, Water, Electricity",,Furnished,1015 CV Amsterdam (Noord-Holland)
<span>Stadsdeel Centrum</span>,,"120 m²,120 m²","€ 3.000,-,€ 3.000,-",3,,Parking possibility,,Unfurnished,1015 BZ Amsterdam (Noord-Holland)
<span>Stadsdeel Centrum</span>,,"68 m²,68 m²","€ 1.650,-,€ 1.650,-",2,,Quality of public transportation: Good,,Furnished,1017 NH Amsterdam (Noord-Holland)
<span>Stadsdeel Centrum</span>,,"55 m²,55 m²","€ 1.475,-,€ 1.475,-",1,,Bath tub,,Furnished,1015 CG Amsterdam (Noord-Holland)
<span>Stadsdeel Centrum</span>,,"55 m²,55 m²","€ 1.475,-,€ 1.475,-",1,,Bath tub,,Furnished,1015 CG Amsterdam (Noord-Holland)
<span>Stadsdeel Centrum</span>,,"65 m²,65 m²","€ 2.400,-,€ 2.400,-",1,,Construction year: 2001,,Furnished,1015 CB Amsterdam (Noord-Holland)
<span>Stadsdeel Centrum</span>,,"55 m²,55 m²","€ 1.475,-,€ 1.475,-",1,,Bath tub,,Furnished,1015 CG Amsterdam (Noord-Holland)
<span>Stadsdeel Centrum</span>,,"135 m²,135 m²","€ 3.000,-,€ 3.000,-",2,,Flooring: Wood,,Furnished,1015 CE Amsterdam (Noord-Holland)
<span>Stadsdeel Oost</span>,,"140 m²,140 m²","€ 2.200,-,€ 2.200,-",2,,,,Unfurnished,1093 RP Amsterdam (Noord-Holland)
<span>Stadsdeel Oost</span>,,"140 m²,140 m²","€ 2.000,-,€ 2.000,-",2,,,,Furnished,1093 RP Amsterdam (Noord-Holland)
<span>Stadsdeel Centrum</span>,,"85 m²,85 m²","€ 1.700,-,€ 1.700,-",1,,,,"Furnished,or unfurnished",1015 CE Amsterdam (Noord-Holland)
<span>Stadsdeel Oost</span>,,"140 m²,140 m²","€ 2.000,-,€ 2.000,-",2,,,,Furnished,1093 RP Amsterdam (Noord-Holland)
<span>Stadsdeel Oost</span>,,"140 m²,140 m²","€ 2.000,-,€ 2.000,-",2,,Quality of public transportation: Average,,Furnished,1093 RP Amsterdam (Noord-Holland)
<span>Stadsdeel Centrum</span>,,"110 m²,110 m²","€ 1.850,-,€ 1.850,-",1,,Quality of public transportation: Average,,Furnished,1018 AD Amsterdam (Noord-Holland)
<span>Stadsdeel Centrum</span>,,"80 m²,80 m²","€ 1.600,-,€ 1.600,-",2,,"Price inclusive: Gas, Water, Electricity",,Furnished,1018 AD Amsterdam (Noord-Holland)
<span>Stadsdeel Centrum</span>,,"100 m²,100 m²","€ 1.700,-,€ 1.700,-",1,,,,Furnished,1018 GD Amsterdam (Noord-Holland)
<span>Stadsdeel Centrum</span>,,"66 m²,66 m²","€ 1.450,-,€ 1.450,-",1,,Storage,,Furnished,1018 GW Amsterdam (Noord-Holland)
<span>Stadsdeel Centrum</span>,,"120 m²,120 m²","€ 2.250,-,€ 2.250,-",2,,,,Unfurnished,1017 JT Amsterdam (Noord-Holland)
<span>Stadsdeel Centrum</span>,,"56 m²,56 m²","€ 1.500,-,€ 1.500,-",2,,,,Unfurnished,1018 WP Amsterdam (Noord-Holland)
<span>Stadsdeel Centrum</span>,,"120 m²,120 m²","€ 2.250,-,€ 2.250,-",2,,,,Unfurnished,1017 JT Amsterdam (Noord-Holland)
<span>Stadsdeel Oost</span>,,"70 m²,70 m²","€ 1.500,-,€ 1.500,-",2,,"exclusive:  Gas, Water, Electricity",,Furnished,1091 AP Amsterdam (Noord-Holland)
<span>Stadsdeel Centrum</span>,,"120 m²,120 m²","€ 2.250,-,€ 2.250,-",2,,,,Unfurnished,1017 JT Amsterdam (Noord-Holland)
<span>Stadsdeel Centrum</span>,,"90 m²,90 m²","€ 1.800,-,€ 1.800,-",1,,,,"Furnished,or unfurnished",1017 KG Amsterdam (Noord-Holland)
<span>Stadsdeel Centrum</span>,,"208 m²,208 m²","€ 6.950,-,€ 6.950,-",3,,Parking possibility,,Unknown,1018 TV Amsterdam (Noord-Holland)
<span>Stadsdeel Centrum</span>,,"90 m²,90 m²","€ 1.750,-,€ 1.750,-",1,,Quality of public transportation: Good,,"Furnished,or unfurnished",1017 KG Amsterdam (Noord-Holland)
<span>Stadsdeel Centrum</span>,,"120 m²,120 m²","€ 2.850,-,€ 2.850,-",3,,Ground floor,,Furnished,1018 VX Amsterdam (Noord-Holland)
<span>Stadsdeel Oost</span>,,"60 m²,60 m²","€ 1.500,-,€ 1.500,-",1,,Quality of public transportation: Good,,Furnished,1091 DE Amsterdam (Noord-Holland)
<span>Stadsdeel Centrum</span>,,"60 m²,60 m²","€ 1.600,-,€ 1.600,-",1,,,,Furnished,1018 VX Amsterdam (Noord-Holland)
<span>Stadsdeel Centrum</span>,,"145 m²,145 m²","€ 3.250,-,€ 3.250,-",3,,,,Furnished,1017 ND Amsterdam (Noord-Holland)
<span>Stadsdeel Centrum</span>,,"80 m²,80 m²","€ 1.900,-,€ 1.900,-",2,,"exclusive:  Gas, Water, Electricity",,Furnished,1018 SX Amsterdam (Noord-Holland)
<span>Stadsdeel Centrum</span>,,"75 m²,75 m²","€ 1.850,-,€ 1.850,-",1,,Storage,,Furnished,1017 ND Amsterdam (Noord-Holland)
<span>Stadsdeel Centrum</span>,,"60 m²,60 m²","€ 1.650,-,€ 1.650,-",1,,"exclusive:  Gas, Water, Electricity",,Furnished,1018 TH Amsterdam (Noord-Holland)
<span>Stadsdeel Centrum</span>,,"110 m²,110 m²","€ 2.150,-,€ 2.150,-",2,,,,Furnished,1017 DJ Amsterdam (Noord-Holland)
<span>Stadsdeel Centrum</span>,,"100 m²,100 m²","€ 2.390,-,€ 2.390,-",2,,,,Furnished,1017 KE Amsterdam (Noord-Holland)
<span>Stadsdeel Centrum</span>,,"88 m²,88 m²","€ 2.000,-,€ 2.000,-",1,,"Price inclusive: Gas, Water, Electricity",,Shell,1017 EG Amsterdam (Noord-Holland)
<span>Stadsdeel Centrum</span>,,"315 m²,315 m²","€ 5.900,-,€ 5.900,-",4,,Quality of public transportation: Good,,Unfurnished,1016 CT Amsterdam (Noord-Holland)
<span>Stadsdeel Centrum</span>,,"105 m²,105 m²","€ 2.000,-,€ 2.000,-",1,,,,Furnished,1016 CR Amsterdam (Noord-Holland)
<span>Stadsdeel Centrum</span>,,"100 m²,100 m²","€ 2.200,-,€ 2.200,-",2,,,,Furnished,1017 GM Amsterdam (Noord-Holland)
<span>Stadsdeel Centrum</span>,,"225 m²,225 m²","€ 5.250,-,€ 5.250,-",3,,,,Unfurnished,1016 HV Amsterdam (Noord-Holland)
<span>Stadsdeel Centrum</span>,,"105 m²,105 m²","€ 2.500,-,€ 2.500,-",2,,Quality of public transportation: Good,,"Furnished,or unfurnished",1016 JC Amsterdam (Noord-Holland)
<span>Stadsdeel Centrum</span>,,"120 m²,120 m²","€ 2.500,-,€ 2.500,-",2,,Bath tub,,Furnished,1016 CR Amsterdam (Noord-Holland)
<span>Stadsdeel Centrum</span>,,"80 m²,80 m²","€ 2.450,-,€ 2.450,-",2,,,,"Furnished,or unfurnished",1017 GL Amsterdam (Noord-Holland)
<span>Stadsdeel Centrum</span>,,"120 m²,120 m²","€ 2.500,-,€ 2.500,-",2,,Bath tub,,Furnished,1016 CR Amsterdam (Noord-Holland)
<span>Stadsdeel Centrum</span>,,"85 m²,85 m²","€ 2.500,-,€ 2.500,-",1,,,,"Furnished,or unfurnished",1017 JT Amsterdam (Noord-Holland)
<span>Stadsdeel Oost</span>,,"70 m²,70 m²","€ 1.275,-,€ 1.275,-",2,,Quality of public transportation: Average,,Unfurnished,1086 VJ Amsterdam (Noord-Holland)
<span>Stadsdeel Centrum</span>,,"70 m²,70 m²","€ 1.475,-,€ 1.475,-",1,,,,"Furnished,or unfurnished",1017 PV Amsterdam (Noord-Holland)
<span>Stadsdeel Oost</span>,,"99 m²,99 m²","€ 935,-,€ 935,-",3,,"exclusive:  Gas, Water, Electricity",,Shell,1086 VH Amsterdam (Noord-Holland)
<span>Stadsdeel Oost</span>,,"138 m²,138 m²","€ 1.260,-,€ 1.260,-",3,,"exclusive:  Gas, Water, Electricity",,Shell,1086 VG Amsterdam (Noord-Holland)
<span>Stadsdeel Oost</span>,,"83 m²,83 m²","€ 920,-,€ 920,-",2,,"exclusive:  Gas, Water, Electricity",,Shell,1086 VE Amsterdam (Noord-Holland)
<span>Stadsdeel Oost</span>,,"142 m²,142 m²","€ 2.100,-,€ 2.100,-",3,,Parking possibility,,Unfurnished,1086 VC Amsterdam (Noord-Holland)
<span>Stadsdeel Oost</span>,,"138 m²,138 m²","€ 1.260,-,€ 1.260,-",3,,"exclusive:  Gas, Water, Electricity",,Shell,1086 VD Amsterdam (Noord-Holland)
<span>Stadsdeel Centrum</span>,,"62 m²,62 m²","€ 1.600,-,€ 1.600,-",2,,Flooring: Laminate,,"Furnished,or unfurnished",1017 NL Amsterdam (Noord-Holland)
<span>Stadsdeel Centrum</span>,,"117 m²,117 m²","€ 1.222,-,€ 1.222,-",3,,"exclusive:  Gas, Water, Electricity",,Shell,1086 VB Amsterdam (Noord-Holland)
<span>Stadsdeel Oost</span>,,"181 m²,181 m²","€ 3.250,-,€ 3.250,-",3,,Garage,,Unfurnished,1019 WE Amsterdam (Noord-Holland)
<span>Stadsdeel Oost</span>,,"130 m²,130 m²","€ 1.900,-,€ 1.900,-",3,,Bath tub,,Furnished,1086 ZR Amsterdam (Noord-Holland)
<span>Stadsdeel West</span>,,"120 m²,120 m²","€ 2.500,-,€ 2.500,-",3,,Ground floor,,Furnished,1054 TB Amsterdam (Noord-Holland)
<span>Stadsdeel Oost</span>,,"83 m²,83 m²","€ 885,-,€ 885,-",2,,"exclusive:  Gas, Water, Electricity",,Shell,1086 VE Amsterdam (Noord-Holland)
<span>Stadsdeel Oost</span>,,"130 m²,130 m²","€ 1.900,-,€ 1.900,-",3,,Quality of public transportation: Good,,Furnished,1086 ZR Amsterdam (Noord-Holland)
<span>Stadsdeel Oost</span>,,"83 m²,83 m²","€ 885,-,€ 885,-",2,,"exclusive:  Gas, Water, Electricity",,Shell,1086 VE Amsterdam (Noord-Holland)
<span>Stadsdeel Oost</span>,,"76 m²,76 m²","€ 1.030,-,€ 1.030,-",2,,"exclusive:  Gas, Water, Electricity",,Shell,1097 JE Amsterdam (Noord-Holland)
<span>Stadsdeel Oost</span>,,"76 m²,76 m²","€ 1.030,-,€ 1.030,-",2,,"exclusive:  Gas, Water, Electricity",,Shell,1097 JE Amsterdam (Noord-Holland)
<span></span>,,"95 m²,95 m²","€ 1.750,-,€ 1.750,-",2,,Bath tub,,Furnished,1095 MA Amsterdam (Noord-Holland)
<span>Stadsdeel Nieuw-West</span>,,"87 m²,87 m²","€ 1.400,-,€ 1.400,-",2,,,,Furnished,1061 WB Amsterdam (Noord-Holland)
